time,station,part,family,type,activity
275746019,Freezer,PZ_1010_5898,PZ,PZ_1010,ENTER
275749609,Oven,PZ_1010_5908,PZ,PZ_1010,ENTER
275751097,Oven,PZ_1010_5902,PZ,PZ_1010,EXIT
275761420,BoxStation,PACK_1010_001823,PACK,PACK_1010,ENTER
275769291,PackStation,PZ_1010_5851,PZ,PZ_1010,ENTER
275769713,PizzaSource,PZ_1010_5916,PZ,PZ_1010,EXIT
275769713,PizzaSource,PZ_1010_5917,PZ,PZ_1010,ENTER
275786188,Freezer,PZ_1010_5899,PZ,PZ_1010,ENTER
275789395,Oven,PZ_1010_5909,PZ,PZ_1010,ENTER
275791166,Oven,PZ_1010_5903,PZ,PZ_1010,EXIT
275809509,PackStation,PZ_1010_5852,PZ,PZ_1010,ENTER
275809835,PizzaSource,PZ_1010_5917,PZ,PZ_1010,EXIT
