time,station,part,family,type,activity
278809565,PizzaSource,PZ_1010_5992,PZ,PZ_1010,EXIT
278809565,PizzaSource,PZ_1010_5993,PZ,PZ_1010,ENTER
278818755,Freezer,PZ_1010_5933,PZ,PZ_1010,EXIT
278825988,Freezer,PZ_1010_5975,PZ,PZ_1010,ENTER
278829454,Oven,PZ_1010_5985,PZ,PZ_1010,ENTER
278831025,Oven,PZ_1010_5979,PZ,PZ_1010,EXIT
278843083,PackStation,PACK_1010_001842,PACK,PACK_1010,EXIT_AP
278849372,PackStation,PZ_1010_5928,PZ,PZ_1010,ENTER
278849725,PizzaSource,PZ_1010_5993,PZ,PZ_1010,EXIT
278849725,PizzaSource,PZ_1010_5994,PZ,PZ_1010,ENTER
278858800,Freezer,PZ_1010_5934,PZ,PZ_1010,EXIT
278866251,Freezer,PZ_1010_5976,PZ,PZ_1010,ENTER
278869161,Oven,PZ_1010_5986,PZ,PZ_1010,ENTER
278871028,Oven,PZ_1010_5980,PZ,PZ_1010,EXIT
278882283,BoxStation,PACK_1010_001842,PACK,PACK_1010,ENTER
278889498,PackStation,PZ_1010_5929,PZ,PZ_1010,ENTER
278889612,PizzaSource,PZ_1010_5994,PZ,PZ_1010,EXIT
278889612,PizzaSource,PZ_1010_5995,PZ,PZ_1010,ENTER
278898894,Freezer,PZ_1010_5935,PZ,PZ_1010,EXIT
278906023,Freezer,PZ_1010_5977,PZ,PZ_1010,ENTER
278909394,Oven,PZ_1010_5987,PZ,PZ_1010,ENTER
278911076,Oven,PZ_1010_5981,PZ,PZ_1010,EXIT
278929343,PackStation,PZ_1010_5930,PZ,PZ_1010,ENTER
278929613,PizzaSource,PZ_1010_5995,PZ,PZ_1010,EXIT
278929613,PizzaSource,PZ_1010_5996,PZ,PZ_1010,ENTER
278938713,Freezer,PZ_1010_5936,PZ,PZ_1010,EXIT
278946099,Freezer,PZ_1010_5978,PZ,PZ_1010,ENTER
278949205,Oven,PZ_1010_5988,PZ,PZ_1010,ENTER
278950950,Oven,PZ_1010_5982,PZ,PZ_1010,EXIT
278969488,PackStation,PZ_1010_5931,PZ,PZ_1010,ENTER
278969700,PizzaSource,PZ_1010_5996,PZ,PZ_1010,EXIT
278969700,PizzaSource,PZ_1010_5997,PZ,PZ_1010,ENTER
278978549,Freezer,PZ_1010_5937,PZ,PZ_1010,EXIT
278986064,Freezer,PZ_1010_5979,PZ,PZ_1010,ENTER
278989363,Oven,PZ_1010_5989,PZ,PZ_1010,ENTER
278990978,Oven,PZ_1010_5983,PZ,PZ_1010,EXIT
279002789,PackStation,PACK_1010_001843,PACK,PACK_1010,EXIT_AP
279009478,PackStation,PZ_1010_5932,PZ,PZ_1010,ENTER
279009762,PizzaSource,PZ_1010_5997,PZ,PZ_1010,EXIT
279009762,PizzaSource,PZ_1010_5998,PZ,PZ_1010,ENTER
279018870,Freezer,PZ_1010_5938,PZ,PZ_1010,EXIT
279026067,Freezer,PZ_1010_5980,PZ,PZ_1010,ENTER
279029473,Oven,PZ_1010_5990,PZ,PZ_1010,ENTER
279030854,Oven,PZ_1010_5984,PZ,PZ_1010,EXIT
