time,unit,station,part,family,type,activity
1659000,ms,Freezer,PZ_1030_751,PZ,PZ_1030,EXIT
1659260,ms,PizzaSource,PZ_1030_764,PZ,PZ_1030,EXIT
1659260,ms,PizzaSource,PZ_1030_765,PZ,PZ_1030,ENTER
1659640,ms,PackStation,PZ_1030_750,PZ,PZ_1030,ENTER
1660240,ms,Oven,PZ_1030_763,PZ,PZ_1030,ENTER
1660630,ms,Oven,PZ_1030_761,PZ,PZ_1030,EXIT
1660710,ms,Freezer,PZ_1030_760,PZ,PZ_1030,ENTER
1661010,ms,Freezer,PZ_1030_752,PZ,PZ_1030,EXIT
1661230,ms,PizzaSource,PZ_1030_765,PZ,PZ_1030,EXIT
1661230,ms,PizzaSource,PZ_1030_766,PZ,PZ_1030,ENTER
1662260,ms,Oven,PZ_1030_764,PZ,PZ_1030,ENTER
1662510,ms,BoxStation,PACK_1020_000176,PACK,PACK_1020,EXIT_AR
1662660,ms,Oven,PZ_1030_763,PZ,PZ_1030,EXIT
1662710,ms,Freezer,PZ_1030_761,PZ,PZ_1030,ENTER
1663010,ms,Freezer,PZ_1030_753,PZ,PZ_1030,EXIT
1663200,ms,PizzaSource,PZ_1030_766,PZ,PZ_1030,EXIT
1663200,ms,PizzaSource,PZ_1030_768,PZ,PZ_1030,ENTER
1663650,ms,BoxStation,PACK_1020_000175,PACK,PACK_1020,EXIT_AR
1664100,ms,BoxStation,PACK_1030_000177,PACK,PACK_1030,ENTER
1664230,ms,Oven,PZ_1030_765,PZ,PZ_1030,ENTER
1664680,ms,Oven,PZ_1030_764,PZ,PZ_1030,EXIT
1664740,ms,Freezer,PZ_1030_763,PZ,PZ_1030,ENTER
1665000,ms,Freezer,PZ_1030_754,PZ,PZ_1030,EXIT
1665210,ms,PizzaSource,PZ_1030_768,PZ,PZ_1030,EXIT
1665210,ms,PizzaSource,PZ_1030_769,PZ,PZ_1030,ENTER
1665330,ms,PackSink,PACK_1020_000176,PACK,PACK_1020,ENTER
1665330,ms,PackSink,PACK_1020_000176,PACK,PACK_1020,EXIT
1665650,ms,PackStation,PACK_1030_000178,PACK,PACK_1030,EXIT_AP
1666200,ms,Oven,PZ_1030_766,PZ,PZ_1030,ENTER
1666360,ms,PackStation,PZ_1030_751,PZ,PZ_1030,ENTER
1666470,ms,PackStation,PZ_1030_752,PZ,PZ_1030,ENTER
1666510,ms,PackSink,PACK_1020_000175,PACK,PACK_1020,ENTER
1666510,ms,PackSink,PACK_1020_000175,PACK,PACK_1020,EXIT
1666640,ms,PackStation,PZ_1030_753,PZ,PZ_1030,ENTER
1666650,ms,Oven,PZ_1030_765,PZ,PZ_1030,EXIT
1666760,ms,Freezer,PZ_1030_764,PZ,PZ_1030,ENTER
1667010,ms,Freezer,PZ_1030_755,PZ,PZ_1030,EXIT
1667210,ms,PizzaSource,PZ_1030_769,PZ,PZ_1030,EXIT
1667210,ms,PizzaSource,PZ_1030_770,PZ,PZ_1030,ENTER
1667660,ms,PackStation,PZ_1030_754,PZ,PZ_1030,ENTER
1668200,ms,Oven,PZ_1030_768,PZ,PZ_1030,ENTER
1668620,ms,Oven,PZ_1030_766,PZ,PZ_1030,EXIT
1668730,ms,Freezer,PZ_1030_765,PZ,PZ_1030,ENTER
1669030,ms,Freezer,PZ_1030_756,PZ,PZ_1030,EXIT
1669210,ms,PizzaSource,PZ_1030_770,PZ,PZ_1030,EXIT
1669210,ms,PizzaSource,PZ_1030_771,PZ,PZ_1030,ENTER
1669970,ms,BoxStation,PACK_1030_000178,PACK,PACK_1030,ENTER
1670210,ms,Oven,PZ_1030_769,PZ,PZ_1030,ENTER
