time,unit,station,part,family,type,activity
1731090,ms,PizzaSource,PZ_1030_812,PZ,PZ_1030,EXIT
1731090,ms,PizzaSource,PZ_1030_813,PZ,PZ_1030,ENTER
1731670,ms,PackStation,PZ_1030_795,PZ,PZ_1030,ENTER
1732030,ms,Oven,PZ_1030_811,PZ,PZ_1030,ENTER
1732450,ms,Oven,PZ_1030_809,PZ,PZ_1030,EXIT
1732550,ms,Freezer,PZ_1030_808,PZ,PZ_1030,ENTER
1732990,ms,Freezer,PZ_1030_797,PZ,PZ_1030,EXIT
1733100,ms,PizzaSource,PZ_1030_813,PZ,PZ_1030,EXIT
1733100,ms,PizzaSource,PZ_1030_815,PZ,PZ_1030,ENTER
1733510,ms,BoxStation,BOX_1030_000060,BOX,BOX_1030,EXIT_AP
1734080,ms,Oven,PZ_1030_812,PZ,PZ_1030,ENTER
1734340,ms,BoxStation,PACK_1030_000186,PACK,PACK_1030,ENTER
1734450,ms,Oven,PZ_1030_811,PZ,PZ_1030,EXIT
